TC =  0
  29   30   61 
  15   22   66 
-122  -71   74 
 -45  -53   43 
 -83   42  -53 
  82   11  -21 
 -78   48   76 
-104   34   24 
   8  -33   66 
  22  -24   46 
 -89  -92  -16 
  30   -8  -96 
 -86    9  -22 
  36   -8   11 
  55  -29  -91 
  32  -31   29 
 -41    4  -42 
  39   52 -123 
 -13  -21  -31 
  18   45   18 
 -31   92   80 
 -74  -67   90 
  48 -101    6 
 -41  -55  -79 
  72  -54  -67 
 -71   35   56 
 -51  -69  -54 
  26 -115   12 
   0   22   15 
   0    0    0 
  14  -53  -50 
  55   -9  -43 
 -54   47  -69 
 110  -35   56 
  48   -2   46 
  18   20  -50 
  78  -42  -73 
 -33 -124   41 
  63   51    8 
  17  -59   42 
 -37   18   20 
 -86  -21   87 
 -76  -37  -52 
  14   51  -89 
 100  -41   25 
  69  -40  127 
 -51  -38  127 
 -34  -28   46 
  73   40  104 
 127  -39   16 
  35    7  -95 
 -84  -10  -39 
  62  -43  -52 
  29   78   39 
   4  -80  -74 
  48  -39  -92 
 -31   62   60 
  24   45    6 
 -49   -1  -45 
  55   58    4 
 105  -34  -73 
-104  -56   65 
 104  -22   -4 
  14    3   40 
 -85    6    5 
-113  120  -61 
  94   51   -8 
  78  -15   35 
 -50    0  -41 
  91   98   30 
 -85  -70   -7 
  85  -35   16 
  52  -56   15 
-127  -30   62 
 -24   19  -73 
  18   96  -88 
   1  -49   75 
 -46   55   15 
  92   47   16 
  55  -28   22 
 -38   -5  -25 
  11  -72  -34 
 -18 -106  -53 
 -91   68  -47 
  48   57   60 
  96  -16   14 
 103   91  -88 
  50   61   62 
 -54  -32  -66 
 109   76   36 
  67  -25  -84 
 -32   46   83 
  63 -127   -9 
 -56  -67  -75 
 -18  -52   19 
 -62  -59   74 
 -70   72   36 
 111   23  -64 
 -26  -46  -97 
  20  -58  -37 
 -43  -22  -45 
  39  -22  -11 
 -71   40   83 
  54   21   41 
 -43   71   45 
 -90   21  -46 
 -76    0   78 
  37  -72  -42 
  59   24  -38 
 -34  127   76 
 -93  -48   77 
   2   26  -10 
  -7   70   28 
 -35   24  -38 
   7   91   26 
  27   84  -30 
 -84   35  -15 
-119   72  -60 
  24   44   86 
 -47   -7  -44 
  43   46   35 
  -6    3  -64 
 -52   19  -74 
  59  -50 -127 
 -51   86   74 
 -52   72  -26 
 -19   18   17 
  -2  -48   76 
   8  -57   54 
  27   47   20 
  22   -9  -60 
 -43    7  -14 
  20   97  -44 
 -13  -19   46 
  53   30  -18 
   3  -63  -46 
  80   60   94 
  17   13  114 
  90  -33   38 
  10  -53 -127 
 -70   92  -80 
 -62  -41   22 
 -45   -9   68 
  18  -69 -115 
  17  -54  -72 
 -76   13  -64 
   0   -5   18 
  46   70   12 
  35   72 -113 
  24  -37   50 
  81  -40   77 
  36   66  -78 
 117   26  -31 
 -27   -9  -30 
 -46  -85  -78 
  85   46  -91 
  62   13   34 
  71   89  -30 
  47  -99    6 
  12  -77  -64 
  13 -117  -53 
 -26   68   -4 
 127  -27   69 
 -79  -50  -22 
  27   22  -91 
 -67  -36   29 
 -55  -78  -71 
  67  -89  -12 
  58  -13  -18 
 -28   92    3 
  39   54  -23 
 -77   31   32 
  71  -45  -41 
 -72 -127   -3 
  50 -118    3 
 -24   -6    0 
 100   29   13 
 -76  -41   10 
 -75  -20  -85 
  23    4  -40 
  -7  -53  -23 
  74  -23  -81 
 -81  -59  -11 
 -13  -83   22 
  22 -127  -32 
  75   22  127 
 -36   22  -14 
 -70   62  114 
  46 -106    4 
  -7  -82  102 
  15   32   49 
  55   28  -30 
 -49   31  -59 
 -29   36   18 
 -37    3   69 
  92   61  -49 
 -39  -70   31 
  61  -16   51 
   8   65  -16 
  41   70  -15 
 -42  127  -59 
   0  -53  -27 
 -70   64  -35 
 -80  -49  -51 
 -16    7   14 
 -25   87   93 
 -19  -16  -35 
  48   75    2 
  39   -1   -1 
 -58   34  -24 
 -60  -75   28 
 -70  -82   69 
 -43  -38  -71 
  34   17   27 
  33  -68  -22 
-106    7   21 
 -19   34  122 
 -34  -60  107 
 -80  -46  -96 
  15   54   68 
  51  -76  -38 
  41  -37 -120 
   0    0    0 
 -37  -79   -5 
  88   20   25 
 -26  -10  -46 
-106  -55  -14 
  -3  -40   29 
   7    2   76 
  62   11  -35 
 -70  -11  -44 
  94    9  -71 
 -31   43   65 
 -87   46 -127 
  18   -3  116 
  11  -66   83 
 -48   47   -9 
  29  -79   35 
  30  -48  -55 
  21  -81  -60 
  65    6   -2 
 -43   61  -87 
  81  -41   48 
 -25   97  -80 
  66   56  120 
 -76  102   70 
 -45  -62  -11 
 -42   16  -40 
  52    8   -5 
  41   47  -45 
  27   13  -39 
 -68   33   55 
 -67  -32   39 
  52  -57    7 
  47   26   93 
 -46   58  -19 
 -14  -51  -22 
  32   12  -11 
   0   59   12 
  83 -101  -61 
-106   14  -85 
 -65  -79   67 
 -30  105 -106 
  70  -45  122 
 -25   21   95 
  43  -26   62 
 -77  -43   50 
  25   50   51 
 -91   -2  -78 
-120  -17  -28 
  74   69  -66 
 -52   97   45 
  48  121   33 
  43  -14  -71 
  10   84   17 
 -65  -92 -102 
 -76   66   -9 
 -29  -33  -47 
  87   26   46 
  24   58   59 
  12   -5    9 
 -20  -62   22 
 -27   51   53 
 127   71   71 
 -19   77   96 
 101   11  -50 
 123  -69  -10 
 -74    6   35 
 -53   18   10 
 -62  -17   16 
 -32   -8  -22 
 -29  -80  -11 
 -15   88  -65 
 -14   37   45 
 -79  -73   67 
 -14  -26   56 
   7   57   23 
   4  -33   70 
  42 -109  -39 
 -25   73  101 
 -17  -34 -110 
  20   34   18 
 -21  -19 -127 
 -21   83    0 
  30  -10  -83 
 -70  -61  -44 
  83   21  -46 
 -88   38   42 
-101   33  -75 
 -19    3   10 
 -32  -11  -32 
 -57   35   16 
  90   -2   72 
 -66  -48  -59 
 105   49   23 
   2 -102  100 
  77  -35  -84 
  95   92 -101 
 -96  -14   68 
 -42  -40   24 
  41   35  105 
  67 -120   89 
  82    2   92 
  97   85  -88 
